Joueur,Poste
Lonnie Walker Iv,SG
Payton Pritchard,PG
Amen Thompson,SF
Josh Hart,SF
Georges Niang,PF
Isaac Okoro,SF
Tre Mann,PG
Malaki Branham,PG
Andrew Nembhard,PG
Chris Paul,PG
Brandin Podziemski,SG
Duop Reath,C
Sam Hauser,SF
Taurean Prince,PF
Jabari Walker,SF
Dereck Lively Ii,C
Kevin Love,PF
Terance Mann,SG
Ausar Thompson,SF
Draymond Green,PF
Al Horford,C
Derrick Jones Jr.,SF
Gradey Dick,SG
Dorian Finney-smith,PF
Tristan Vukcevic,C
Bilal Coulibaly,SF
Andre Drummond,C
Miles Mcbride,PG
Marcus Sasser,PG
Josh Green,SG
Isaiah Joe,SG
Ziaire Williams,SF
Kyle Lowry,PG
Walker Kessler,C
Moses Moody,SG
Nickeil Alexander-walker,SG
Sam Merrill,SG
Derrick Rose,PG
Dario Šarić,C
Trayce Jackson-davis,PF
Dante Exum,PG
Markelle Fultz,PG
Isaiah Hartenstein,C
Jordan Hawkins,SG
Royce O'neale,SF
Raiquan Gray,PF
Nikola Jović,PF
Precious Achiuwa,PF
Toumani Camara,PF
Cody Martin,SF
Brice Sensabaugh,SF
Cameron Payne,PG
Christian Braun,SG
Jaden Hardy,SG
Taylor Hendricks,PF
Paul Reed,C
Lamar Stevens,PF
Johnny Juzang,SG
Kevin Knox,SF
Trey Lyles,PF
Jose Alvarado,PG
Naji Marshall,SF
Landry Shamet,SG
James Wiseman,C
Vasilije Micić,PG
Jordan Nwora,SF
Quentin Grimes,SG
Javon Freeman-liberty,PG
Evan Fournier,SG
Gary Harris,SG
Killian Hayes,PG
Bones Hyland,PG
Mãozinha Pereira,SF
Trendon Watford,PF
Aaron Wiggins,SG
Christian Wood,PF
Trey Jemison,C
Julian Champagnie,SF
Jonathan Isaac,PF
Cedi Osman,SF
Day'ron Sharpe,C
Cason Wallace,SG
Robert Williams,C
Dāvis Bertāns,PF
Jahmi'us Ramsey,SG
Peyton Watson,SF
Amir Coffey,SF
Aaron Holiday,PG
Dennis Smith Jr.,PG
Chimezie Metu,C
Jordan Goodwin,PG
David Roddy,PF
David Duke Jr.,SG
Jeff Green,PF
Isaiah Jackson,C
Marcus Morris,PF
Kyle Anderson,PF
Chris Boucher,PF
Jared Butler,SG
Bruno Fernando,C
Daniel Theis,C
Jaylen Nowell,SG
Patrick Beverley,PG
Jae Crowder,PF
Keon Johnson,SG
Haywood Highsmith,PF
Vit Krejci,PG
Kris Murray,SF
Ben Simmons,PG
Zavier Simpson,PG
Tosan Evbuomwan,SF
Justin Champagnie,SF
Nick Smith Jr.,SG
Ochai Agbaji,SG
Noah Clowney,PF
Dyson Daniels,PG
Danilo Gallinari,SF
Thomas Bryant,C
Torrey Craig,SF
Larry Nance Jr.,C
Pat Connaughton,SF
Craig Porter Jr.,PG
Mitchell Robinson,C
Malachi Flynn,PG
Doug Mcdermott,SF
Dexter Dennis,SG
Gary Payton Ii,SG
Neemias Queta,C
Ricky Council Iv,SG
Kris Dunn,PG
Keon Ellis,SG
Cam Reddish,SF
Matt Ryan,SF
Matisse Thybulle,SF
Sasha Vezenkov,PF
Dean Wade,PF
Darius Bazley,PF
Xavier Tillman Sr.,PF
Nicolas Batum,PF
Luke Kornet,C
Davion Mitchell,PG
Mason Plumlee,C
Stanley Umude,SG
Aleksej Pokusevski,PF
Bol Bol,PF
Brandon Boston Jr.,SF
Jarred Vanderbilt,PF
Seth Curry,SG
Drew Eubanks,C
Bryce Mcgowens,SG
Richaun Holmes,C
Monte Morris,PG
Goga Bitadze,C
Jevon Carter,PG
Devonte' Graham,PG
Isaiah Livers,PF
Kobi Simmons,PG
D.j. Wilson,PF
Jalen Wilson,PF
Jock Landale,C
Garrison Mathews,SG
Jared Rhoden,SG
Kobe Bufkin,SG
Dejon Jarreau,SG
Eugene Omoruyi,SF
Kenrich Williams,PF
Kenneth Lofton Jr.,PF
Anthony Black,PG
Josh Okogie,SG
Omer Yurtseven,C
Shake Milton,SG
Delon Wright,PG
A.j. Green,SG
Kevon Looney,C
Taze Moore,SG
Julian Strawther,SF
Bismack Biyombo,C
Robert Covington,PF
Patrick Baldwin Jr.,SF
Mo Bamba,C
Dominick Barlow,PF
Marjon Beauchamp,SF
Joe Ingles,SF
Maxi Kleber,C
Jontay Porter,PF
Lester Quiñones,SG
Ben Sheppard,SG
Blake Wesley,SG
Jeff Dowtin,PG
Jaxson Hayes,C
Caleb Houstan,SF
John Konchar,SF
Dru Smith,SG
Thaddeus Young,PF
Jacob Gilyard,PG
Armoni Brooks,PG
Troy Brown Jr.,SF
Max Christie,SG
Ashton Hagans,PG
Danuel House Jr.,SF
Skylar Mays,SG
Sandro Mamukelashvili,C
Luka Šamanić,PF
Jae'sean Tate,SF
Patty Mills,PG
Izaiah Brockington,PG
Ousmane Dieng,PF
Luka Garza,C
Mouhamed Gueye,PF
Justin Holiday,SG
Matthew Hurt,PF
Javale Mcgee,C
Svi Mykhailiuk,SF
Rayan Rupert,SG
Adama Sanogo,PF
Jaylin Williams,C
Jules Bernard,SG
Chris Duarte,SF
Deandre Jordan,C
Sidy Cissoko,SF
Anthony Gill,PF
Kj Martin,SF
Keita Bates-diop,SF
Oshae Brissett,SF
Jamal Cain,PF
Drew Peterson,PF
T.j. Warren,SF
James Bouknight,SG
Collin Gillespie,PG
Gui Santos,PF
Jarace Walker,PF
Lindy Waters Iii,SG
Théo Maledon,PG
Onuralp Bitim,SG
Jordan Mclaughlin,PG
Marques Bolden,C
Ryan Rollins,PG
Yuta Watanabe,SF
Buddy Boeheim,SF
Moses Brown,C
Wenyen Gabriel,PF
Nassir Little,SF
Jalen Mcdaniels,SF
Jaden Springer,SG
Charles Bassey,C
Micah Potter,PF
Dwight Powell,C
Terquavion Smith,PG
Garrett Temple,SG
Tristan Thompson,C
Oscar Tshiebwe,PF
Kira Lewis Jr.,PG
A.j. Lawson,SG
Boban Marjanović,C
Zeke Nnaji,PF
Ish Smith,PG
Jt Thor,PF
Brandon Williams,PG
Wesley Matthews,SG
Dalen Terry,SG
Gabe Vincent,PG
Mike Muscala,C
Johnny Davis,SG
Saben Lee,PG
Olivier-maxence Prosper,PF
Trevelin Queen,SG
Jeremiah Robinson-earl,PF
Jeenathan Williams,SG
D.j. Carton,SG
Henri Drell,SF
Orlando Robinson,C
Emoni Bates,SF
Leaky Black,SF
Damian Jones,C
Malik Williams,C
Timmy Allen,SF
Moussa Diabaté,C
Otto Porter Jr.,SF
Alex Fudge,SF
Dylan Windler,SF
Greg Brown Iii,PF
Furkan Korkmaz,SG
Alex Len,C
Markieff Morris,PF
Harry Giles,C
Aj Griffin,SF
Mouhamadou Gueye,PF
Joe Harris,SG
Cory Joseph,PG
Xavier Moon,SG
Jamaree Bouyea,PG
Amari Bailey,PG
Isaiah Mobley,PF
Chuma Okeke,SF
Olivier Sarr,C
Dereon Seabron,SG
Cole Swider,SF
Udoka Azubuike,C
Reggie Bullock,SF
Trent Forrest,SG
Nate Hinton,SG
Andre Jackson Jr.,SG
Julian Phillips,SF
Ish Wainright,SF
Colby Jones,SG
Mamadi Diakite,PF
Kobe Brown,PF
Jd Davison,SG
Jordan Ford,PG
Kevon Harris,SG
D'moi Hodge,SG
Ty Jerome,SG
Markquis Nowell,SG
Jericho Sims,C
Lindell Wigginton,PG
Isaiah Wong,SG
Justin Minaya,SF
Daishen Nix,PG
Cody Zeller,C
Taj Gibson,PF
P.j. Tucker,PF
Kessler Edwards,SF
Leonard Miller,SF
Jason Preston,PG
Jordan Walsh,SF
Jalen Hood-schifino,SG
Jett Howard,SF
Seth Lundy,SF
Jordan Miller,SF
Josh Minott,SF
Jalen Pickett,SG
Ibou Badji,C
Colin Castleton,C
Adam Flagler,SG
Dariq Whitehead,SF
Terry Taylor,PF
Jack White,SF
Kendall Brown,SG
Mason Jones,SG
Jerome Robinson,SG
Jermaine Samuels,SF
Jacob Toppin,SF
R.j. Hampton,PG
Nathan Mensah,C
Isaiah Thomas,PG
Tyty Washington Jr.,PG
Jay Huff,C
Keyontae Johnson,SF
Chris Livingston,SF
Braxton Key,SF
Robin Lopez,C
Admiral Schofield,PF
Hunter Tyson,PF
Filip Petrušev,C
Hamidou Diallo,SG
Frank Ntilikina,PG
Joshua Primo,SG
Thanasis Antetokounmpo,PF
James Johnson,PF
Charlie Brown Jr.,SG
Daquan Jeffries,SG
Shaquille Harrison,SG
Quenton Jackson,PG
Wendell Moore Jr.,SG
Jalen Slawson,SF
Pat Spencer,PG
Alondes Williams,SG
Juan Toscano-anderson,SF
Usman Garuba,PF
E.j. Liddell,PF
Pete Nance,PF
Maxwell Lewis,SF
Ryan Arcidiacono,PG
Malcolm Cazalon,SG
Jalen Crutcher,PG
Andrew Funk,SG
Kaiser Gates,SF
Danny Green,SG
Ron Harper Jr.,PF
Justin Jackson,SF
Dmytro Skapintsev,C
Javonte Smart,PG
League Average,
